a	AW1
ibiyaqun	IY1 P JH AW1 CH UW1 N
ibiyara	IY1 P JH AW1 R AW1
ibiyarakv	IY1 P JH AW1 R AW1 K AO1
ibiyarakvngge	IY1 P JH AW1 R AW1 K AO1 NG NG AH1
ibiyarangge	IY1 P JH AW1 R AW1 NG NG AH1
ibiyon	IY1 P JH OW1 N
ibkabumbi	IY1 P K AW1 P UW1 M P IY1
ibkabume	IY1 P K AW1 P UW1 M AH1
ibkaburakv	IY1 P K AW1 P UW1 R AW1 K AO1
ibkambi	IY1 P K AW1 M P IY1
ibkame	IY1 P K AW1 M AH1
ibkan	IY1 P K AW1 N
ibkaqina	IY1 P K AW1 K IY1 N AW1
ibkara	IY1 P K AW1 R AW1
ibkarakv	IY1 P K AW1 R AW1 K AO1
ibkaxambi	IY1 P K AW1 SH AW1 M P IY1
ibte	IY1 P T AH1
ibtenehe	IY1 P T AH1 N AH1 HH AH1
ibteneme	IY1 P T AH1 N AH1 M AH1
ibufi	IY1 P UW1 F IY1
ibuha	IY1 P UW1 HH AW1
ibuhe	IY1 P UW1 HH AH1
ibumbi	IY1 P UW1 M P IY1
iburxambi	IY1 P UW1 R SH AW1 M P IY1
iburxame	IY1 P UW1 R SH AW1 M AH1
ibxa	IY1 P SH AW1
icihiyantu	IY1 T IY1 HH JH AW1 N T UW1
icihiyara	IY1 T IY1 HH JH AW1 R AW1
ida	IY1 T AW1
idahvn	IY1 T AW1 HH AO1 N
idara	IY1 T AW1 R AW1
idarambi	IY1 T AW1 R AW1 M P IY1
idarxambi	IY1 T AW1 R SH AW1 M P IY1
idarxame	IY1 T AW1 R SH AW1 M AH1
ide	IY1 T AH1
idemu	IY1 T AH1 M UW1
idemungge	IY1 T AH1 M UW1 NG NG AH1
ido	IY1 T OW1
idombi	IY1 T OW1 M P IY1
idon	IY1 T OW1 N
idu	IY1 T UW1
idufi	IY1 T UW1 F IY1
iduha	IY1 T UW1 HH AW1
idui	IY1 T UW1 JH
idukan	IY1 T UW1 K AW1 N
idumbi	IY1 T UW1 M P IY1
idun	IY1 T UW1 N
idurabumbi	IY1 T UW1 R AW1 P UW1 M P IY1
idurakv	IY1 T UW1 R AW1 K AO1
idurambi	IY1 T UW1 R AW1 M P IY1
idurame	IY1 T UW1 R AW1 M AH1
idure	IY1 T UW1 R AH1
idurembi	IY1 T UW1 R AH1 M P IY1
idureme	IY1 T UW1 R AH1 M AH1
ifi	IY1 F IY1
ifibufi	IY1 F IY1 P UW1 F IY1
ififi	IY1 F IY1 F IY1
ifiha	IY1 F IY1 HH AW1
ifimbi	IY1 F IY1 M P IY1
ifime	IY1 F IY1 M AH1
ifin	IY1 F IY1 N
ifirakv	IY1 F IY1 R AW1 K AO1
ifire	IY1 F IY1 R AH1
ifma	IY1 F M AW1
ifunggaha	IY1 F UW1 NG N AW1 HH AW1
igabun	IY1 K AW1 P UW1 N
igan	IY1 K AW1 N
igebu	IY1 K AH1 P UW1
igehe	IY1 K AH1 HH AH1
igeme	IY1 K AH1 M AH1
igen	IY1 K AH1 N
igeri	IY1 K AH1 R IY1
igi	IY1 K IY1
iging	IY1 K IY1 NG
iha	IY1 HH AW1
ihafan	IY1 HH AW1 F AW1 N
ihan	IY1 HH AW1 N
ihangga	IY1 HH AW1 NG N AW1
ihaqi	IY1 HH AW1 K IY1
ihari	IY1 HH AW1 R IY1
ihasi	IY1 HH AW1 S IY1
ihasingga	IY1 HH AW1 S IY1 NG N AW1
ihaxambi	IY1 HH AW1 SH AW1 M P IY1
ihen	IY1 HH AH1 N
iheri	IY1 HH AH1 R IY1
ihida	IY1 HH IY1 T AW1
ihiyame	IY1 HH JH AW1 M AH1
ihume	IY1 HH UW1 M AH1
ihvngga	IY1 HH AO1 NG N AW1
ihvtun	IY1 HH AO1 T UW1 N
ija	IY1 JH AW1
ijai	IY1 JH AW1 JH
ijaraxame	IY1 JH AW1 R AW1 SH AW1 M AH1
ijari	IY1 JH AW1 R IY1
ijarlambi	IY1 JH AW1 R L AW1 M P IY1
ijarxambi	IY1 JH AW1 R SH AW1 M P IY1
ijarxame	IY1 JH AW1 R SH AW1 M AH1
ijarxara	IY1 JH AW1 R SH AW1 R AW1
ijasha	IY1 JH AW1 S HH AW1
ijasu	IY1 JH AW1 S UW1
ijeme	IY1 JH AH1 M AH1
ijeqembi	IY1 JH AH1 CH AH1 M P IY1
ijer	IY1 JH AH1 R
ijerxambi	IY1 JH AH1 R SH AW1 M P IY1
ijerxara	IY1 JH AH1 R SH AW1 R AW1
ijibumbi	IY1 JH IY1 P UW1 M P IY1
ijiburakv	IY1 JH IY1 P UW1 R AW1 K AO1
ijifun	IY1 JH IY1 F UW1 N
ijiha	IY1 JH IY1 HH AW1
ijila	IY1 JH IY1 L AW1
ijilabumbi	IY1 JH IY1 L AW1 P UW1 M P IY1
ijilabume	IY1 JH IY1 L AW1 P UW1 M AH1
ijilafi	IY1 JH IY1 L AW1 F IY1
ijilaha	IY1 JH IY1 L AW1 HH AW1
ijilahabi	IY1 JH IY1 L AW1 HH AW1 P IY1
ijilahangge	IY1 JH IY1 L AW1 HH AW1 NG NG AH1
ijilambi	IY1 JH IY1 L AW1 M P IY1
ijilara	IY1 JH IY1 L AW1 R AW1
ijimbi	IY1 JH IY1 M P IY1
ijime	IY1 JH IY1 M AH1
ijin	IY1 JH IY1 N
ijintu	IY1 JH IY1 N T UW1
ijirakv	IY1 JH IY1 R AW1 K AO1
ijirara	IY1 JH IY1 R AW1 R AW1
ijire	IY1 JH IY1 R AH1
ijirhi	IY1 JH IY1 R HH IY1
ijirxeme	IY1 JH IY1 R SH AH1 M AH1
ijisahvn	IY1 JH IY1 S AW1 HH AO1 N
ijishvn	IY1 JH IY1 S HH AO1 N
ijiyanggvn	IY1 JH JH AW1 NG N AO1 N
ijlarxambi	IY1 JH L AW1 R SH AW1 M P IY1
iju	IY1 JH UW1
ijubuha	IY1 JH UW1 P UW1 HH AW1
ijubuhabi	IY1 JH UW1 P UW1 HH AW1 P IY1
ijubumbi	IY1 JH UW1 P UW1 M P IY1
ijubume	IY1 JH UW1 P UW1 M AH1
ijufi	IY1 JH UW1 F IY1
ijuha	IY1 JH UW1 HH AW1
ijuhakv	IY1 JH UW1 HH AW1 K AO1
ijukv	IY1 JH UW1 K AO1
ijumbi	IY1 JH UW1 M P IY1
ijume	IY1 JH UW1 M AH1
ijuqi	IY1 JH UW1 K IY1
ijurabufi	IY1 JH UW1 R AW1 P UW1 F IY1
ijurabuhai	IY1 JH UW1 R AW1 P UW1 HH AW1 JH
ijurabumbi	IY1 JH UW1 R AW1 P UW1 M P IY1
ijurabume	IY1 JH UW1 R AW1 P UW1 M AH1
ijurabure	IY1 JH UW1 R AW1 P UW1 R AH1
ijurakv	IY1 JH UW1 R AW1 K AO1
ijurambi	IY1 JH UW1 R AW1 M P IY1
ijurara	IY1 JH UW1 R AW1 R AW1
ijure	IY1 JH UW1 R AH1
ijureme	IY1 JH UW1 R AH1 M AH1
ijurenirure	IY1 JH UW1 R AH1 N IY1 R UW1 R AH1
ika	IY1 K AW1
ikdaki	IY1 K T AW1 K IY1
ikdan	IY1 K T AW1 N
ikdo	IY1 K T OW1
ikefi	IY1 K AH1 F IY1
ikehe	IY1 K AH1 HH AH1
iken	IY1 K AH1 N
ikengge	IY1 K AH1 NG NG AH1
ikifi	IY1 K IY1 F IY1
ikiri	IY1 K IY1 R IY1
ikirilame	IY1 K IY1 R IY1 L AW1 M AH1
ikitai	IY1 K IY1 T AW1 JH
ikrsun	IY1 K R S UW1 N
ikson	IY1 K S OW1 N
iktabuhabi	IY1 K T AW1 P UW1 HH AW1 P IY1
iktabukini	IY1 K T AW1 P UW1 K IY1 N IY1
iktabumbi	IY1 K T AW1 P UW1 M P IY1
iktafi	IY1 K T AW1 F IY1
iktaha	IY1 K T AW1 HH AW1
iktaka	IY1 K T AW1 K AW1
iktakabi	IY1 K T AW1 K AW1 P IY1
iktakai	IY1 K T AW1 K AW1 JH
iktakangge	IY1 K T AW1 K AW1 NG NG AH1
iktambi	IY1 K T AW1 M P IY1
iktambufi	IY1 K T AW1 M P UW1 F IY1
iktambuha	IY1 K T AW1 M P UW1 HH AW1
iktambuhai	IY1 K T AW1 M P UW1 HH AW1 JH
iktambuhangge	IY1 K T AW1 M P UW1 HH AW1 NG NG AH1
iktambumbi	IY1 K T AW1 M P UW1 M P IY1
iktambume	IY1 K T AW1 M P UW1 M AH1
iktamburakv	IY1 K T AW1 M P UW1 R AW1 K AO1
iktambure	IY1 K T AW1 M P UW1 R AH1
iktame	IY1 K T AW1 M AH1
iktan	IY1 K T AW1 N
iktangga	IY1 K T AW1 NG N AW1
iktaqi	IY1 K T AW1 K IY1
iktara	IY1 K T AW1 R AW1
iktaran	IY1 K T AW1 R AW1 N
iktosilabumbi	IY1 K T OW1 S IY1 L AW1 P UW1 M P IY1
ikv	IY1 K AO1
ikvbu	IY1 K AO1 P UW1
ikvbumbi	IY1 K AO1 P UW1 M P IY1
ikvburakv	IY1 K AO1 P UW1 R AW1 K AO1
ikvbure	IY1 K AO1 P UW1 R AH1
ikvfi	IY1 K AO1 F IY1
ikvha	IY1 K AO1 HH AW1
ikvhabi	IY1 K AO1 HH AW1 P IY1
ikvmbi	IY1 K AO1 M P IY1
ikvme	IY1 K AO1 M AH1
ikvn	IY1 K AO1 N
ikvqi	IY1 K AO1 K IY1
ikvrakv	IY1 K AO1 R AW1 K AO1
ikvre	IY1 K AO1 R AH1
ikvrengge	IY1 K AO1 R AH1 NG NG AH1
ikvrsu	IY1 K AO1 R S UW1
ikvrsun	IY1 K AO1 R S UW1 N
ikvrulahabi	IY1 K AO1 R UW1 L AW1 HH AW1 P IY1
ikvrxambi	IY1 K AO1 R SH AW1 M P IY1
ikvrxame	IY1 K AO1 R SH AW1 M AH1
ikvrxembi	IY1 K AO1 R SH AH1 M P IY1
ila	IY1 L AW1
ilabuha	IY1 L AW1 P UW1 HH AW1
ilabumbi	IY1 L AW1 P UW1 M P IY1
ilabume	IY1 L AW1 P UW1 M AH1
iladaka	IY1 L AW1 T AW1 K AW1
iladala	IY1 L AW1 T AW1 L AW1
iladambi	IY1 L AW1 T AW1 M P IY1
iladame	IY1 L AW1 T AW1 M AH1
iladara	IY1 L AW1 T AW1 R AW1
ilafi	IY1 L AW1 F IY1
ilafibumbi	IY1 L AW1 F IY1 P UW1 M P IY1
ilafiha	IY1 L AW1 F IY1 HH AW1
ilafime	IY1 L AW1 F IY1 M AH1
ilagahabi	IY1 L AW1 K AW1 HH AW1 P IY1
ilagame	IY1 L AW1 K AW1 M AH1
ilagarakv	IY1 L AW1 K AW1 R AW1 K AO1
ilagi	IY1 L AW1 K IY1
ilagvri	IY1 L AW1 K AO1 R IY1
ilaha	IY1 L AW1 HH AW1
ilahabi	IY1 L AW1 HH AW1 P IY1
ilahahakv	IY1 L AW1 HH AW1 HH AW1 K AO1
ilahai	IY1 L AW1 HH AW1 JH
ilahakv	IY1 L AW1 HH AW1 K AO1
ilahaname	IY1 L AW1 HH AW1 N AW1 M AH1
ilahi	IY1 L AW1 HH IY1
ilahv	IY1 L AW1 HH AO1
ilai	IY1 L AW1 JH
ilajuwan	IY1 L AW1 JH UW1 AW1 N
ilaka	IY1 L AW1 K AW1
ilakangga	IY1 L AW1 K AW1 NG N AW1
ilakangge	IY1 L AW1 K AW1 NG NG AH1
ilakvxame	IY1 L AW1 K AO1 SH AW1 M AH1
ilambi	IY1 L AW1 M P IY1
ilame	IY1 L AW1 M AH1
ilan	IY1 L AW1 N
ilaneng	IY1 L AW1 N AH1 NG
ilanggeji	IY1 L AW1 NG NG AH1 JH IY1
ilanggeri	IY1 L AW1 NG NG AH1 R IY1
ilanggiri	IY1 L AW1 NG NG IY1 R IY1
ilanqi	IY1 L AW1 N K IY1
ilaqi	IY1 L AW1 K IY1
ilaqibe	IY1 L AW1 K IY1 P AH1
ilaqide	IY1 L AW1 K IY1 T AH1
ilaqin	IY1 L AW1 K IY1 N
ilaqingge	IY1 L AW1 K IY1 NG NG AH1
ilara	IY1 L AW1 R AW1
ilarakv	IY1 L AW1 R AW1 K AO1
ilarangge	IY1 L AW1 R AW1 NG NG AH1
ilare	IY1 L AW1 R AH1
ilari	IY1 L AW1 R IY1
ilarkv	IY1 L AW1 R K AO1
ilarsu	IY1 L AW1 R S UW1
ilasato	IY1 L AW1 S AW1 T OW1
ilata	IY1 L AW1 T AW1
ilatame	IY1 L AW1 T AW1 M AH1
ilatara	IY1 L AW1 T AW1 R AW1
ilbabumbi	IY1 L P AW1 P UW1 M P IY1
ilbafi	IY1 L P AW1 F IY1
ilbaha	IY1 L P AW1 HH AW1
ilbakv	IY1 L P AW1 K AO1
ilbambi	IY1 L P AW1 M P IY1
ilbame	IY1 L P AW1 M AH1
ilban	IY1 L P AW1 N
ilbana	IY1 L P AW1 N AW1
ilbaqi	IY1 L P AW1 K IY1
ilbara	IY1 L P AW1 R AW1
ilbarilambi	IY1 L P AW1 R IY1 L AW1 M P IY1
ilbaxambi	IY1 L P AW1 SH AW1 M P IY1
ilbeke	IY1 L P AH1 K AH1
ilbiu	IY1 L P IY1 W
ildafun	IY1 L T AW1 F UW1 N
ildame	IY1 L T AW1 M AH1
ildamu	IY1 L T AW1 M UW1
ildamungga	IY1 L T AW1 M UW1 NG N AW1
ildedei	IY1 L T AH1 T AH1 JH
ildefun	IY1 L T AH1 F UW1 N
ildehe	IY1 L T AH1 HH AH1
ildei	IY1 L T AH1 JH
ilden	IY1 L T AH1 N
ildeng	IY1 L T AH1 NG
ildubi	IY1 L T UW1 P IY1
ildubumbi	IY1 L T UW1 P UW1 M P IY1
ildufun	IY1 L T UW1 F UW1 N
ilduka	IY1 L T UW1 K AW1
ildukan	IY1 L T UW1 K AW1 N
ildumbi	IY1 L T UW1 M P IY1
ildume	IY1 L T UW1 M AH1
ildun	IY1 L T UW1 N
ilduna	IY1 L T UW1 N AW1
ildunde	IY1 L T UW1 N T AH1
ildungga	IY1 L T UW1 NG N AW1
ilduqi	IY1 L T UW1 K IY1
ildura	IY1 L T UW1 R AW1
ildure	IY1 L T UW1 R AH1
ilduxambi	IY1 L T UW1 SH AW1 M P IY1
ile	IY1 L AH1
ilebumbi	IY1 L AH1 P UW1 M P IY1
ilefi	IY1 L AH1 F IY1
ilehe	IY1 L AH1 HH AH1
ilehengge	IY1 L AH1 HH AH1 NG NG AH1
ileka	IY1 L AH1 K AW1
ilembi	IY1 L AH1 M P IY1
ileme	IY1 L AH1 M AH1
ilemu	IY1 L AH1 M UW1
ilen	IY1 L AH1 N
ilenggan	IY1 L AH1 NG N AW1 N
ilenggu	IY1 L AH1 NG NG UW1
ilenggui	IY1 L AH1 NG NG UW1 JH
ilengku	IY1 L AH1 NG K UW1
ilengui	IY1 L AH1 NG UW1 JH
ilenqi	IY1 L AH1 N K IY1
ilentuken	IY1 L AH1 N T UW1 K AH1 N
ilerakv	IY1 L AH1 R AW1 K AO1
ilere	IY1 L AH1 R AH1
ilerebumbi	IY1 L AH1 R AH1 P UW1 M P IY1
ilerembi	IY1 L AH1 R AH1 M P IY1
ileri	IY1 L AH1 R IY1
ileten	IY1 L AH1 T AH1 N
iletoniletun	IY1 L AH1 T OW1 N IY1 L AH1 T UW1 N
iletu	IY1 L AH1 T UW1
iletuken	IY1 L AH1 T UW1 K AH1 N
iletule	IY1 L AH1 T UW1 L AH1
iletulebi	IY1 L AH1 T UW1 L AH1 P IY1
iletulebumbi	IY1 L AH1 T UW1 L AH1 P UW1 M P IY1
iletuleburakv	IY1 L AH1 T UW1 L AH1 P UW1 R AW1 K AO1
iletulebure	IY1 L AH1 T UW1 L AH1 P UW1 R AH1
iletuleburengge	IY1 L AH1 T UW1 L AH1 P UW1 R AH1 NG NG AH1
iletulefi	IY1 L AH1 T UW1 L AH1 F IY1
iletulehe	IY1 L AH1 T UW1 L AH1 HH AH1
iletulehebi	IY1 L AH1 T UW1 L AH1 HH AH1 P IY1
iletulehekv	IY1 L AH1 T UW1 L AH1 HH AH1 K AO1
iletulehen	IY1 L AH1 T UW1 L AH1 HH AH1 N
iletulehengge	IY1 L AH1 T UW1 L AH1 HH AH1 NG NG AH1
iletuleki	IY1 L AH1 T UW1 L AH1 K IY1
iletulembi	IY1 L AH1 T UW1 L AH1 M P IY1
iletuleme	IY1 L AH1 T UW1 L AH1 M AH1
iletuleqi	IY1 L AH1 T UW1 L AH1 K IY1
iletulerakv	IY1 L AH1 T UW1 L AH1 R AW1 K AO1
iletulere	IY1 L AH1 T UW1 L AH1 R AH1
iletulerengge	IY1 L AH1 T UW1 L AH1 R AH1 NG NG AH1
iletun	IY1 L AH1 T UW1 N
iletungge	IY1 L AH1 T UW1 NG NG AH1
ilfajaha	IY1 L F AW1 JH AW1 HH AW1
ilfiha	IY1 L F IY1 HH AW1
ilga	IY1 L K AW1
ilgabu	IY1 L K AW1 P UW1
ilgabufi	IY1 L K AW1 P UW1 F IY1
ilgabuha	IY1 L K AW1 P UW1 HH AW1
ilgabuhabi	IY1 L K AW1 P UW1 HH AW1 P IY1
ilgabumbi	IY1 L K AW1 P UW1 M P IY1
ilgabume	IY1 L K AW1 P UW1 M AH1
ilgabun	IY1 L K AW1 P UW1 N
ilgabuqi	IY1 L K AW1 P UW1 K IY1
ilgaburakv	IY1 L K AW1 P UW1 R AW1 K AO1
ilgabure	IY1 L K AW1 P UW1 R AH1
ilgabureu	IY1 L K AW1 P UW1 R AH1 W
ilgafi	IY1 L K AW1 F IY1
ilgaha	IY1 L K AW1 HH AW1
ilgahabi	IY1 L K AW1 HH AW1 P IY1
ilgahabiturgun	IY1 L K AW1 HH AW1 P IY1 T UW1 R K UW1 N
ilgahakv	IY1 L K AW1 HH AW1 K AO1
ilgahangge	IY1 L K AW1 HH AW1 NG NG AH1
ilgahvbi	IY1 L K AW1 HH AO1 P IY1
ilgai	IY1 L K AW1 JH
ilgakangge	IY1 L K AW1 K AW1 NG NG AH1
ilgaki	IY1 L K AW1 K IY1
ilgambi	IY1 L K AW1 M P IY1
ilgame	IY1 L K AW1 M AH1
ilgan	IY1 L K AW1 N
ilganafi	IY1 L K AW1 N AW1 F IY1
ilganahabi	IY1 L K AW1 N AW1 HH AW1 P IY1
ilganambi	IY1 L K AW1 N AW1 M P IY1
ilgandumbi	IY1 L K AW1 N T UW1 M P IY1
ilganfi	IY1 L K AW1 N F IY1
ilgangga	IY1 L K AW1 NG N AW1
ilgangge	IY1 L K AW1 NG NG AH1
ilgaqi	IY1 L K AW1 K IY1
ilgaqun	IY1 L K AW1 CH UW1 N
ilgara	IY1 L K AW1 R AW1
ilgarakv	IY1 L K AW1 R AW1 K AO1
ilgarakvqi	IY1 L K AW1 R AW1 K AO1 K IY1
ilgarengge	IY1 L K AW1 R AH1 NG NG AH1
ilgari	IY1 L K AW1 R IY1
ilgasi	IY1 L K AW1 S IY1
ilgaxafi	IY1 L K AW1 SH AW1 F IY1
ilgaxaha	IY1 L K AW1 SH AW1 HH AW1
ilgaxambi	IY1 L K AW1 SH AW1 M P IY1
ilgaxame	IY1 L K AW1 SH AW1 M AH1
ilgaxara	IY1 L K AW1 SH AW1 R AW1
ilgei	IY1 L K AH1 JH
ilgin	IY1 L K IY1 N
ilgiri	IY1 L K IY1 R IY1
ilgki	IY1 L K K IY1
ilgome	IY1 L K OW1 M AH1
ilha	IY1 L HH AW1
ilhai	IY1 L HH AW1 JH
ilhakv	IY1 L HH AW1 K AO1
ilhame	IY1 L HH AW1 M AH1
ilhamuke	IY1 L HH AW1 M UW1 K AH1
ilhan	IY1 L HH AW1 N
ilhanafi	IY1 L HH AW1 N AW1 F IY1
ilhanahabi	IY1 L HH AW1 N AW1 HH AW1 P IY1
ilhanambi	IY1 L HH AW1 N AW1 M P IY1
ilhaname	IY1 L HH AW1 N AW1 M AH1
ilhanara	IY1 L HH AW1 N AW1 R AW1
ilhanarakv	IY1 L HH AW1 N AW1 R AW1 K AO1
ilhangga	IY1 L HH AW1 NG N AW1
ilhangge	IY1 L HH AW1 NG NG AH1
ilhari	IY1 L HH AW1 R IY1
ilhi	IY1 L HH IY1
ilhilaki	IY1 L HH IY1 L AW1 K IY1
ilhilara	IY1 L HH IY1 L AW1 R AW1
ilhin	IY1 L HH IY1 N
ilhinembi	IY1 L HH IY1 N AH1 M P IY1
ilhinere	IY1 L HH IY1 N AH1 R AH1
ilhinerengge	IY1 L HH IY1 N AH1 R AH1 NG NG AH1
ilhingga	IY1 L HH IY1 NG N AW1
ilhingge	IY1 L HH IY1 NG NG AH1
ilhiqi	IY1 L HH IY1 K IY1
ilho	IY1 L HH OW1
ilhuru	IY1 L HH UW1 R UW1
ilhv	IY1 L HH AO1
ilhvngga	IY1 L HH AO1 NG N AW1
ilhvri	IY1 L HH AO1 R IY1
ilhvwan	IY1 L HH AO1 AW1 N
ili	IY1 L IY1
ilibo	IY1 L IY1 P OW1
ilibofi	IY1 L IY1 P OW1 F IY1
ilibu	IY1 L IY1 P UW1
ilibubi	IY1 L IY1 P UW1 P IY1
ilibubufi	IY1 L IY1 P UW1 P UW1 F IY1
ilibubume	IY1 L IY1 P UW1 P UW1 M AH1
ilibubureu	IY1 L IY1 P UW1 P UW1 R AH1 W
ilibufe	IY1 L IY1 P UW1 F AH1
ilibufi	IY1 L IY1 P UW1 F IY1
ilibuha	IY1 L IY1 P UW1 HH AW1
ilibuhabi	IY1 L IY1 P UW1 HH AW1 P IY1
ilibuhakv	IY1 L IY1 P UW1 HH AW1 K AO1
ilibuhakvbi	IY1 L IY1 P UW1 HH AW1 K AO1 P IY1
ilibuhangge	IY1 L IY1 P UW1 HH AW1 NG NG AH1
ilibuhaqi	IY1 L IY1 P UW1 HH AW1 K IY1
ilibuki	IY1 L IY1 P UW1 K IY1
ilibukini	IY1 L IY1 P UW1 K IY1 N IY1
ilibumbi	IY1 L IY1 P UW1 M P IY1
ilibumbihe	IY1 L IY1 P UW1 M P IY1 HH AH1
ilibumbikai	IY1 L IY1 P UW1 M P IY1 K AW1 JH
ilibumbime	IY1 L IY1 P UW1 M P IY1 M AH1
ilibumbiu	IY1 L IY1 P UW1 M P IY1 W
ilibume	IY1 L IY1 P UW1 M AH1
ilibun	IY1 L IY1 P UW1 N
ilibuqi	IY1 L IY1 P UW1 K IY1
ilibuqibe	IY1 L IY1 P UW1 K IY1 P AH1
ilibura	IY1 L IY1 P UW1 R AW1
iliburahv	IY1 L IY1 P UW1 R AW1 HH AO1
iliburakv	IY1 L IY1 P UW1 R AW1 K AO1
iliburakvngge	IY1 L IY1 P UW1 R AW1 K AO1 NG NG AH1
iliburangge	IY1 L IY1 P UW1 R AW1 NG NG AH1
ilibure	IY1 L IY1 P UW1 R AH1
iliburede	IY1 L IY1 P UW1 R AH1 T AH1
iliburengge	IY1 L IY1 P UW1 R AH1 NG NG AH1
ilibuwai	IY1 L IY1 P UW1 AW1 JH
ilifi	IY1 L IY1 F IY1
iliha	IY1 L IY1 HH AW1
ilihabi	IY1 L IY1 HH AW1 P IY1
ilihade	IY1 L IY1 HH AW1 T AH1
ilihai	IY1 L IY1 HH AW1 JH
ilihakv	IY1 L IY1 HH AW1 K AO1
ilihakvbi	IY1 L IY1 HH AW1 K AO1 P IY1
ilihangga	IY1 L IY1 HH AW1 NG N AW1
ilihangge	IY1 L IY1 HH AW1 NG NG AH1
ilihau	IY1 L IY1 HH AW1 W
ilihbi	IY1 L IY1 HH P IY1
ilihen	IY1 L IY1 HH AH1 N
ilihi	IY1 L IY1 HH IY1
ilihime	IY1 L IY1 HH IY1 M AH1
iliki	IY1 L IY1 K IY1
ilikini	IY1 L IY1 K IY1 N IY1
ililaha	IY1 L IY1 L AW1 HH AW1
ilimbaha	IY1 L IY1 M P AW1 HH AW1
ilimbahabi	IY1 L IY1 M P AW1 HH AW1 P IY1
ilimbahabumbi	IY1 L IY1 M P AW1 HH AW1 P UW1 M P IY1
ilimbahade	IY1 L IY1 M P AW1 HH AW1 T AH1
ilimbahakv	IY1 L IY1 M P AW1 HH AW1 K AO1
ilimbahambi	IY1 L IY1 M P AW1 HH AW1 M P IY1
ilimbahara	IY1 L IY1 M P AW1 HH AW1 R AW1
ilimbi	IY1 L IY1 M P IY1
ilimbiu	IY1 L IY1 M P IY1 W
ilime	IY1 L IY1 M AH1
ilimeliyan	IY1 L IY1 M AH1 L JH AW1 N
ilin	IY1 L IY1 N
ilinabura	IY1 L IY1 N AW1 P UW1 R AW1
ilinabure	IY1 L IY1 N AW1 P UW1 R AH1
ilinafi	IY1 L IY1 N AW1 F IY1
ilinaha	IY1 L IY1 N AW1 HH AW1
ilinahabi	IY1 L IY1 N AW1 HH AW1 P IY1
ilinambi	IY1 L IY1 N AW1 M P IY1
ilinara	IY1 L IY1 N AW1 R AW1
iling	IY1 L IY1 NG
ilingga	IY1 L IY1 NG N AW1
ilinjabuha	IY1 L IY1 N JH AW1 P UW1 HH AW1
ilinjabuqi	IY1 L IY1 N JH AW1 P UW1 K IY1
ilinjabure	IY1 L IY1 N JH AW1 P UW1 R AH1
ilinjafi	IY1 L IY1 N JH AW1 F IY1
ilinjaha	IY1 L IY1 N JH AW1 HH AW1
ilinjahabi	IY1 L IY1 N JH AW1 HH AW1 P IY1
ilinjambi	IY1 L IY1 N JH AW1 M P IY1
ilinjame	IY1 L IY1 N JH AW1 M AH1
ilinjara	IY1 L IY1 N JH AW1 R AW1
ilinjarakv	IY1 L IY1 N JH AW1 R AW1 K AO1
ilinjarangge	IY1 L IY1 N JH AW1 R AW1 NG NG AH1
ilinje	IY1 L IY1 N JH AH1
ilinjiha	IY1 L IY1 N JH IY1 HH AW1
ilinjimbi	IY1 L IY1 N JH IY1 M P IY1
ilinjirakv	IY1 L IY1 N JH IY1 R AW1 K AO1
iliqabuha	IY1 L IY1 CH AW1 P UW1 HH AW1
iliqafi	IY1 L IY1 CH AW1 F IY1
iliqaha	IY1 L IY1 CH AW1 HH AW1
iliqahabi	IY1 L IY1 CH AW1 HH AW1 P IY1
iliqahai	IY1 L IY1 CH AW1 HH AW1 JH
iliqahangge	IY1 L IY1 CH AW1 HH AW1 NG NG AH1
iliqambi	IY1 L IY1 CH AW1 M P IY1
iliqara	IY1 L IY1 CH AW1 R AW1
iliqi	IY1 L IY1 K IY1
iliqibe	IY1 L IY1 K IY1 P AH1
iliqifi	IY1 L IY1 K IY1 F IY1
iliqina	IY1 L IY1 K IY1 N AW1
ilira	IY1 L IY1 R AW1
ilirakv	IY1 L IY1 R AW1 K AO1
ilirakvn	IY1 L IY1 R AW1 K AO1 N
ilirangge	IY1 L IY1 R AW1 NG NG AH1
ilire	IY1 L IY1 R AH1
ilirede	IY1 L IY1 R AH1 T AH1
ilirengge	IY1 L IY1 R AH1 NG NG AH1
ilirhv	IY1 L IY1 R HH AO1
iliyambi	IY1 L JH AW1 M P IY1
iliyame	IY1 L JH AW1 M AH1
iliyangga	IY1 L JH AW1 NG N AW1
iljehedeu	IY1 L JH AH1 HH AH1 T AH1 W
ilka	IY1 L K AW1
ilkabi	IY1 L K AW1 P IY1
ilkame	IY1 L K AW1 M AH1
ilkan	IY1 L K AW1 N
ilkidun	IY1 L K IY1 T UW1 N
illha	IY1 L L HH AW1
ilmaha	IY1 L M AW1 HH AW1
ilmahv	IY1 L M AW1 HH AO1
ilmen	IY1 L M AH1 N
ilmerekebi	IY1 L M AH1 R AH1 K AH1 P IY1
ilmha	IY1 L M HH AW1
ilmoho	IY1 L M OW1 HH OW1
ilmuha	IY1 L M UW1 HH AW1
ilmun	IY1 L M UW1 N
ilnggu	IY1 L NG NG UW1
ilnilgiyan	IY1 L N IY1 L K JH AW1 N
ilqambi	IY1 L CH AW1 M P IY1
iltajaha	IY1 L T AW1 JH AW1 HH AW1
